Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-12-07,4:50 AM,45 °F,36 °F,71 %,W,3 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,5:20 AM,46 °F,37 °F,71 %,W,10 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,5:50 AM,46 °F,37 °F,71 %,W,8 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,6:20 AM,45 °F,37 °F,76 %,W,8 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,6:50 AM,45 °F,36 °F,71 %,W,9 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,7:20 AM,45 °F,34 °F,66 %,W,8 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,7:50 AM,45 °F,34 °F,66 %,WNW,7 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,8:20 AM,45 °F,34 °F,66 %,W,6 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,8:50 AM,45 °F,34 °F,66 %,W,6 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-07,9:20 AM,45 °F,36 °F,71 %,W,3 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,9:50 AM,46 °F,36 °F,66 %,W,7 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,10:20 AM,46 °F,36 °F,66 %,W,7 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,10:50 AM,48 °F,36 °F,62 %,WSW,14 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,11:20 AM,48 °F,36 °F,62 %,WSW,13 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,11:50 AM,48 °F,34 °F,57 %,WSW,10 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,12:20 PM,48 °F,34 °F,57 %,WSW,10 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-07,12:50 PM,48 °F,34 °F,57 %,WSW,10 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
