Date       ,Time     ,Temperature ,Dew Point ,Humidity ,Wind ,Wind Speed ,Wind Gust ,Pressure ,Precip. ,Condition
2011-01-02 ,9:20 AM  ,43 °F       ,28 °F     ,57 %     ,VAR  ,1 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,9:50 AM  ,45 °F       ,30 °F     ,57 %     ,VAR  ,1 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,10:20 AM ,45 °F       ,30 °F     ,57 %     ,VAR  ,3 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,10:50 AM ,45 °F       ,28 °F     ,53 %     ,S    ,9 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,11:50 AM ,48 °F       ,30 °F     ,50 %     ,S    ,12 mph     ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,12:20 PM ,48 °F       ,28 °F     ,46 %     ,S    ,10 mph     ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,12:50 PM ,48 °F       ,30 °F     ,50 %     ,SSE  ,9 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,1:20 PM  ,48 °F       ,28 °F     ,46 %     ,S    ,8 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,1:50 PM  ,50 °F       ,27 °F     ,40 %     ,S    ,8 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,2:20 PM  ,50 °F       ,27 °F     ,40 %     ,S    ,8 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,2:50 PM  ,50 °F       ,28 °F     ,43 %     ,S    ,7 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,3:20 PM  ,50 °F       ,27 °F     ,40 %     ,S    ,8 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,3:50 PM  ,50 °F       ,28 °F     ,43 %     ,S    ,6 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,4:20 PM  ,50 °F       ,28 °F     ,43 %     ,S    ,7 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,4:50 PM  ,48 °F       ,28 °F     ,46 %     ,SSE  ,7 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,5:20 PM  ,48 °F       ,28 °F     ,46 %     ,S    ,3 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,5:50 PM  ,46 °F       ,30 °F     ,53 %     ,ESE  ,2 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,6:20 PM  ,46 °F       ,30 °F     ,53 %     ,SE   ,2 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,6:50 PM  ,45 °F       ,30 °F     ,57 %     ,VAR  ,1 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,7:20 PM  ,45 °F       ,30 °F     ,57 %     ,VAR  ,2 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,7:50 PM  ,45 °F       ,30 °F     ,57 %     ,CALM ,0 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,8:20 PM  ,45 °F       ,30 °F     ,57 %     ,VAR  ,1 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,8:50 PM  ,45 °F       ,30 °F     ,57 %     ,CALM ,0 mph      ,0 mph     ,29.64 in ,0.0 in  ,Fair
2011-01-02 ,9:20 PM  ,45 °F       ,28 °F     ,53 %     ,CALM ,0 mph      ,0 mph     ,29.64 in ,0.0 in  ,Partly Cloudy
2011-01-02 ,9:50 PM  ,43 °F       ,30 °F     ,61 %     ,NE   ,2 mph      ,0 mph     ,29.64 in ,0.0 in  ,Partly Cloudy
2011-01-02 ,10:20 PM ,43 °F       ,30 °F     ,61 %     ,VAR  ,1 mph      ,0 mph     ,29.64 in ,0.0 in  ,Mostly Cloudy
2011-01-02 ,10:50 PM ,45 °F       ,30 °F     ,57 %     ,CALM ,0 mph      ,0 mph     ,29.64 in ,0.0 in  ,Mostly Cloudy
2011-01-02 ,11:20 PM ,45 °F       ,28 °F     ,53 %     ,CALM ,0 mph      ,0 mph     ,29.64 in ,0.0 in  ,Mostly Cloudy
2011-01-02 ,11:50 PM ,43 °F       ,28 °F     ,57 %     ,VAR  ,1 mph      ,0 mph     ,29.64 in ,0.0 in  ,Partly Cloudy
2011-01-02 ,12:20 AM ,45 °F       ,28 °F     ,53 %     ,VAR  ,1 mph      ,0 mph     ,29.64 in ,0.0 in  ,Mostly Cloudy
2011-01-03 ,12:50 AM ,45 °F       ,28 °F     ,53 %     ,CALM ,0 mph      ,0 mph     ,29.61 in ,0.0 in  ,Partly Cloudy
2011-01-03 ,1:20 AM  ,43 °F       ,30 °F     ,61 %     ,NNE  ,2 mph      ,0 mph     ,29.61 in ,0.0 in  ,Mostly Cloudy
2011-01-03 ,1:50 AM  ,43 °F       ,30 °F     ,61 %     ,NNE  ,2 mph      ,0 mph     ,29.61 in ,0.0 in  ,Mostly Cloudy
2011-01-03 ,2:20 AM  ,41 °F       ,30 °F     ,65 %     ,NNE  ,1 mph      ,0 mph     ,29.61 in ,0.0 in  ,Mostly Cloudy
2011-01-03 ,2:50 AM  ,39 °F       ,0 °F      ,75 %     ,NNE  ,3 mph      ,0 mph     ,29.61 in ,0.0 in  ,Partly Cloudy
2011-01-03 ,3:20 AM  ,39 °F       ,30 °F     ,70 %     ,NE   ,5 mph      ,0 mph     ,29.58 in ,0.0 in  ,Mostly Cloudy
2011-01-03 ,3:50 AM  ,39 °F       ,30 °F     ,70 %     ,NNE  ,5 mph      ,0 mph     ,29.58 in ,0.0 in  ,Mostly Cloudy
2011-01-03 ,4:20 AM  ,39 °F       ,30 °F     ,70 %     ,NNE  ,3 mph      ,0 mph     ,29.58 in ,0.0 in  ,Mostly Cloudy
2011-01-03 ,4:50 AM  ,39 °F       ,30 °F     ,70 %     ,NE   ,5 mph      ,0 mph     ,29.58 in ,0.0 in  ,Mostly Cloudy
